file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_115_S39_L002_R1_001-trim.fastq.gz	FASTQ	DNA	8742662	1309749549	36	149.8	151
P12002_115_S39_L002_R2_001-trim.fastq.gz	FASTQ	DNA	8742662	1309592831	36	149.8	151
P12002_115_S84_L004_R1_001-trim.fastq.gz	FASTQ	DNA	12013081	1802180852	36	150.0	151
P12002_115_S84_L004_R2_001-trim.fastq.gz	FASTQ	DNA	12013081	1801945815	36	150.0	151
P12002_115_S84_L007_R1_001-trim.fastq.gz	FASTQ	DNA	10598505	1588802986	36	149.9	151
P12002_115_S84_L007_R2_001-trim.fastq.gz	FASTQ	DNA	10598505	1588702603	36	149.9	151
