file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_174_S70_L003_R1_001.fastq.gz	FASTQ	DNA	16000984	2416148584	151	151.0	151
P12002_174_S70_L003_R2_001.fastq.gz	FASTQ	DNA	16000984	2416148584	151	151.0	151
P12002_174_S70_L006_R1_001.fastq.gz	FASTQ	DNA	14712389	2221570739	151	151.0	151
P12002_174_S70_L006_R2_001.fastq.gz	FASTQ	DNA	14712389	2221570739	151	151.0	151
P12002_174_S25_L001_R1_001.fastq.gz	FASTQ	DNA	14505108	2190271308	151	151.0	151
P12002_174_S25_L001_R2_001.fastq.gz	FASTQ	DNA	14505108	2190271308	151	151.0	151
