file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_172_S103_L004_R1_001.fastq.gz	FASTQ	DNA	11901350	1797103850	151	151.0	151
P12002_172_S103_L004_R2_001.fastq.gz	FASTQ	DNA	11901350	1797103850	151	151.0	151
P12002_172_S103_L007_R1_001.fastq.gz	FASTQ	DNA	11308829	1707633179	151	151.0	151
P12002_172_S103_L007_R2_001.fastq.gz	FASTQ	DNA	11308829	1707633179	151	151.0	151
P12002_172_S58_L002_R1_001.fastq.gz	FASTQ	DNA	9652999	1457602849	151	151.0	151
P12002_172_S58_L002_R2_001.fastq.gz	FASTQ	DNA	9652999	1457602849	151	151.0	151
