file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_169_S102_L004_R1_001.fastq.gz	FASTQ	DNA	9597389	1449205739	151	151.0	151
P12002_169_S102_L004_R2_001.fastq.gz	FASTQ	DNA	9597389	1449205739	151	151.0	151
P12002_169_S102_L007_R1_001.fastq.gz	FASTQ	DNA	9125599	1377965449	151	151.0	151
P12002_169_S102_L007_R2_001.fastq.gz	FASTQ	DNA	9125599	1377965449	151	151.0	151
P12002_169_S57_L002_R1_001.fastq.gz	FASTQ	DNA	7695831	1162070481	151	151.0	151
P12002_169_S57_L002_R2_001.fastq.gz	FASTQ	DNA	7695831	1162070481	151	151.0	151
