file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_178_S105_L004_R1_001.fastq.gz	FASTQ	DNA	18119732	2736079532	151	151.0	151
P12002_178_S105_L004_R2_001.fastq.gz	FASTQ	DNA	18119732	2736079532	151	151.0	151
P12002_178_S105_L007_R1_001.fastq.gz	FASTQ	DNA	16612282	2508454582	151	151.0	151
P12002_178_S105_L007_R2_001.fastq.gz	FASTQ	DNA	16612282	2508454582	151	151.0	151
P12002_178_S60_L002_R1_001.fastq.gz	FASTQ	DNA	13749235	2076134485	151	151.0	151
P12002_178_S60_L002_R2_001.fastq.gz	FASTQ	DNA	13749235	2076134485	151	151.0	151
