file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_152_S30_L002_R1_001.fastq.gz	FASTQ	DNA	11413004	1723363604	151	151.0	151
P12002_152_S30_L002_R2_001.fastq.gz	FASTQ	DNA	11413004	1723363604	151	151.0	151
P12002_152_S30_L005_R1_001.fastq.gz	FASTQ	DNA	12313359	1859317209	151	151.0	151
P12002_152_S30_L005_R2_001.fastq.gz	FASTQ	DNA	12313359	1859317209	151	151.0	151
P12002_152_S30_L008_R1_001.fastq.gz	FASTQ	DNA	10989015	1659341265	151	151.0	151
P12002_152_S30_L008_R2_001.fastq.gz	FASTQ	DNA	10989015	1659341265	151	151.0	151
