file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_153_S63_L003_R1_001.fastq.gz	FASTQ	DNA	13929853	2103407803	151	151.0	151
P12002_153_S63_L003_R2_001.fastq.gz	FASTQ	DNA	13929853	2103407803	151	151.0	151
P12002_153_S63_L006_R1_001.fastq.gz	FASTQ	DNA	13317419	2010930269	151	151.0	151
P12002_153_S63_L006_R2_001.fastq.gz	FASTQ	DNA	13317419	2010930269	151	151.0	151
P12002_153_S18_L001_R1_001.fastq.gz	FASTQ	DNA	12998245	1962734995	151	151.0	151
P12002_153_S18_L001_R2_001.fastq.gz	FASTQ	DNA	12998245	1962734995	151	151.0	151
