file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_115_S84_L004_R1_001.fastq.gz	FASTQ	DNA	13033624	1968077224	151	151.0	151
P12002_115_S84_L004_R2_001.fastq.gz	FASTQ	DNA	13033624	1968077224	151	151.0	151
P12002_115_S84_L007_R1_001.fastq.gz	FASTQ	DNA	11785671	1779636321	151	151.0	151
P12002_115_S84_L007_R2_001.fastq.gz	FASTQ	DNA	11785671	1779636321	151	151.0	151
P12002_115_S39_L002_R1_001.fastq.gz	FASTQ	DNA	9817391	1482426041	151	151.0	151
P12002_115_S39_L002_R2_001.fastq.gz	FASTQ	DNA	9817391	1482426041	151	151.0	151
