file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_121_S86_L004_R1_001.fastq.gz	FASTQ	DNA	10354289	1563497639	151	151.0	151
P12002_121_S86_L004_R2_001.fastq.gz	FASTQ	DNA	10354289	1563497639	151	151.0	151
P12002_121_S86_L007_R1_001.fastq.gz	FASTQ	DNA	9411955	1421205205	151	151.0	151
P12002_121_S86_L007_R2_001.fastq.gz	FASTQ	DNA	9411955	1421205205	151	151.0	151
P12002_121_S41_L002_R1_001.fastq.gz	FASTQ	DNA	8016743	1210528193	151	151.0	151
P12002_121_S41_L002_R2_001.fastq.gz	FASTQ	DNA	8016743	1210528193	151	151.0	151
