file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_114_S50_L003_R1_001.fastq.gz	FASTQ	DNA	11681486	1763904386	151	151.0	151
P12002_114_S50_L003_R2_001.fastq.gz	FASTQ	DNA	11681486	1763904386	151	151.0	151
P12002_114_S50_L006_R1_001.fastq.gz	FASTQ	DNA	10720740	1618831740	151	151.0	151
P12002_114_S50_L006_R2_001.fastq.gz	FASTQ	DNA	10720740	1618831740	151	151.0	151
P12002_114_S5_L001_R1_001.fastq.gz	FASTQ	DNA	10772683	1626675133	151	151.0	151
P12002_114_S5_L001_R2_001.fastq.gz	FASTQ	DNA	10772683	1626675133	151	151.0	151
