file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_157_S98_L004_R1_001.fastq.gz	FASTQ	DNA	16481847	2488758897	151	151.0	151
P12002_157_S98_L004_R2_001.fastq.gz	FASTQ	DNA	16481847	2488758897	151	151.0	151
P12002_157_S98_L007_R1_001.fastq.gz	FASTQ	DNA	15756984	2379304584	151	151.0	151
P12002_157_S98_L007_R2_001.fastq.gz	FASTQ	DNA	15756984	2379304584	151	151.0	151
P12002_157_S53_L002_R1_001.fastq.gz	FASTQ	DNA	14289781	2157756931	151	151.0	151
P12002_157_S53_L002_R2_001.fastq.gz	FASTQ	DNA	14289781	2157756931	151	151.0	151
