file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_155_S31_L002_R1_001.fastq.gz	FASTQ	DNA	13668415	2063930665	151	151.0	151
P12002_155_S31_L002_R2_001.fastq.gz	FASTQ	DNA	13668415	2063930665	151	151.0	151
P12002_155_S31_L005_R1_001.fastq.gz	FASTQ	DNA	14505082	2190267382	151	151.0	151
P12002_155_S31_L005_R2_001.fastq.gz	FASTQ	DNA	14505082	2190267382	151	151.0	151
P12002_155_S31_L008_R1_001.fastq.gz	FASTQ	DNA	13799701	2083754851	151	151.0	151
P12002_155_S31_L008_R2_001.fastq.gz	FASTQ	DNA	13799701	2083754851	151	151.0	151
