file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_128_S22_L002_R1_001-trim.fastq.gz	FASTQ	DNA	9363358	1403889003	36	149.9	151
P12002_128_S22_L002_R2_001-trim.fastq.gz	FASTQ	DNA	9363358	1403735830	36	149.9	151
P12002_128_S22_L005_R1_001-trim.fastq.gz	FASTQ	DNA	10201269	1530591131	36	150.0	151
P12002_128_S22_L005_R2_001-trim.fastq.gz	FASTQ	DNA	10201269	1530498305	36	150.0	151
P12002_128_S22_L008_R1_001-trim.fastq.gz	FASTQ	DNA	9145674	1371057378	36	149.9	151
P12002_128_S22_L008_R2_001-trim.fastq.gz	FASTQ	DNA	9145674	1370999010	36	149.9	151
