file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_194_S44_L002_R1_001.fastq.gz	FASTQ	DNA	13672230	2064506730	151	151.0	151
P12002_194_S44_L002_R2_001.fastq.gz	FASTQ	DNA	13672230	2064506730	151	151.0	151
P12002_194_S44_L005_R1_001.fastq.gz	FASTQ	DNA	15018855	2267847105	151	151.0	151
P12002_194_S44_L005_R2_001.fastq.gz	FASTQ	DNA	15018855	2267847105	151	151.0	151
P12002_194_S44_L008_R1_001.fastq.gz	FASTQ	DNA	13938795	2104758045	151	151.0	151
P12002_194_S44_L008_R2_001.fastq.gz	FASTQ	DNA	13938795	2104758045	151	151.0	151
