file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_196_S111_L004_R1_001.fastq.gz	FASTQ	DNA	17083573	2579619523	151	151.0	151
P12002_196_S111_L004_R2_001.fastq.gz	FASTQ	DNA	17083573	2579619523	151	151.0	151
P12002_196_S111_L007_R1_001.fastq.gz	FASTQ	DNA	16005832	2416880632	151	151.0	151
P12002_196_S111_L007_R2_001.fastq.gz	FASTQ	DNA	16005832	2416880632	151	151.0	151
P12002_196_S66_L002_R1_001.fastq.gz	FASTQ	DNA	12898652	1947696452	151	151.0	151
P12002_196_S66_L002_R2_001.fastq.gz	FASTQ	DNA	12898652	1947696452	151	151.0	151
