file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_201_S112_L004_R1_001.fastq.gz	FASTQ	DNA	14211096	2145875496	151	151.0	151
P12002_201_S112_L004_R2_001.fastq.gz	FASTQ	DNA	14211096	2145875496	151	151.0	151
P12002_201_S112_L007_R1_001.fastq.gz	FASTQ	DNA	13638706	2059444606	151	151.0	151
P12002_201_S112_L007_R2_001.fastq.gz	FASTQ	DNA	13638706	2059444606	151	151.0	151
P12002_201_S67_L002_R1_001.fastq.gz	FASTQ	DNA	12577704	1899233304	151	151.0	151
P12002_201_S67_L002_R2_001.fastq.gz	FASTQ	DNA	12577704	1899233304	151	151.0	151
