file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_188_S42_L002_R1_001.fastq.gz	FASTQ	DNA	16440173	2482466123	151	151.0	151
P12002_188_S42_L002_R2_001.fastq.gz	FASTQ	DNA	16440173	2482466123	151	151.0	151
P12002_188_S42_L005_R1_001.fastq.gz	FASTQ	DNA	17687519	2670815369	151	151.0	151
P12002_188_S42_L005_R2_001.fastq.gz	FASTQ	DNA	17687519	2670815369	151	151.0	151
P12002_188_S42_L008_R1_001.fastq.gz	FASTQ	DNA	15478392	2337237192	151	151.0	151
P12002_188_S42_L008_R2_001.fastq.gz	FASTQ	DNA	15478392	2337237192	151	151.0	151
