file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_133_S90_L004_R1_001.fastq.gz	FASTQ	DNA	18997880	2868679880	151	151.0	151
P12002_133_S90_L004_R2_001.fastq.gz	FASTQ	DNA	18997880	2868679880	151	151.0	151
P12002_133_S90_L007_R1_001.fastq.gz	FASTQ	DNA	18055373	2726361323	151	151.0	151
P12002_133_S90_L007_R2_001.fastq.gz	FASTQ	DNA	18055373	2726361323	151	151.0	151
P12002_133_S45_L002_R1_001.fastq.gz	FASTQ	DNA	16564064	2501173664	151	151.0	151
P12002_133_S45_L002_R2_001.fastq.gz	FASTQ	DNA	16564064	2501173664	151	151.0	151
