file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_141_S59_L003_R1_001.fastq.gz	FASTQ	DNA	9662709	1459069059	151	151.0	151
P12002_141_S59_L003_R2_001.fastq.gz	FASTQ	DNA	9662709	1459069059	151	151.0	151
P12002_141_S59_L006_R1_001.fastq.gz	FASTQ	DNA	9563158	1444036858	151	151.0	151
P12002_141_S59_L006_R2_001.fastq.gz	FASTQ	DNA	9563158	1444036858	151	151.0	151
P12002_141_S14_L001_R1_001.fastq.gz	FASTQ	DNA	9169858	1384648558	151	151.0	151
P12002_141_S14_L001_R2_001.fastq.gz	FASTQ	DNA	9169858	1384648558	151	151.0	151
