file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_126_S54_L003_R1_001.fastq.gz	FASTQ	DNA	7882135	1190202385	151	151.0	151
P12002_126_S54_L003_R2_001.fastq.gz	FASTQ	DNA	7882135	1190202385	151	151.0	151
P12002_126_S54_L006_R1_001.fastq.gz	FASTQ	DNA	7713304	1164708904	151	151.0	151
P12002_126_S54_L006_R2_001.fastq.gz	FASTQ	DNA	7713304	1164708904	151	151.0	151
P12002_126_S9_L001_R1_001.fastq.gz	FASTQ	DNA	7652247	1155489297	151	151.0	151
P12002_126_S9_L001_R2_001.fastq.gz	FASTQ	DNA	7652247	1155489297	151	151.0	151
