file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_128_S22_L002_R1_001.fastq.gz	FASTQ	DNA	10231931	1545021581	151	151.0	151
P12002_128_S22_L002_R2_001.fastq.gz	FASTQ	DNA	10231931	1545021581	151	151.0	151
P12002_128_S22_L005_R1_001.fastq.gz	FASTQ	DNA	10962788	1655380988	151	151.0	151
P12002_128_S22_L005_R2_001.fastq.gz	FASTQ	DNA	10962788	1655380988	151	151.0	151
P12002_128_S22_L008_R1_001.fastq.gz	FASTQ	DNA	10356435	1563821685	151	151.0	151
P12002_128_S22_L008_R2_001.fastq.gz	FASTQ	DNA	10356435	1563821685	151	151.0	151
