file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_131_S23_L002_R1_001.fastq.gz	FASTQ	DNA	11698831	1766523481	151	151.0	151
P12002_131_S23_L002_R2_001.fastq.gz	FASTQ	DNA	11698831	1766523481	151	151.0	151
P12002_131_S23_L005_R1_001.fastq.gz	FASTQ	DNA	12400269	1872440619	151	151.0	151
P12002_131_S23_L005_R2_001.fastq.gz	FASTQ	DNA	12400269	1872440619	151	151.0	151
P12002_131_S23_L008_R1_001.fastq.gz	FASTQ	DNA	12153589	1835191939	151	151.0	151
P12002_131_S23_L008_R2_001.fastq.gz	FASTQ	DNA	12153589	1835191939	151	151.0	151
