file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_106_S81_L004_R1_001.fastq.gz	FASTQ	DNA	8712435	1315577685	151	151.0	151
P12002_106_S81_L004_R2_001.fastq.gz	FASTQ	DNA	8712435	1315577685	151	151.0	151
P12002_106_S81_L007_R1_001.fastq.gz	FASTQ	DNA	8167112	1233233912	151	151.0	151
P12002_106_S81_L007_R2_001.fastq.gz	FASTQ	DNA	8167112	1233233912	151	151.0	151
P12002_106_S36_L002_R1_001.fastq.gz	FASTQ	DNA	6961566	1051196466	151	151.0	151
P12002_106_S36_L002_R2_001.fastq.gz	FASTQ	DNA	6961566	1051196466	151	151.0	151
