file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_104_S14_L002_R1_001.fastq.gz	FASTQ	DNA	9867320	1489965320	151	151.0	151
P12002_104_S14_L002_R2_001.fastq.gz	FASTQ	DNA	9867320	1489965320	151	151.0	151
P12002_104_S14_L005_R1_001.fastq.gz	FASTQ	DNA	10155071	1533415721	151	151.0	151
P12002_104_S14_L005_R2_001.fastq.gz	FASTQ	DNA	10155071	1533415721	151	151.0	151
P12002_104_S14_L008_R1_001.fastq.gz	FASTQ	DNA	9885799	1492755649	151	151.0	151
P12002_104_S14_L008_R2_001.fastq.gz	FASTQ	DNA	9885799	1492755649	151	151.0	151
