file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
P12002_101_S13_L002_R1_001.fastq.gz	FASTQ	DNA	14609051	2205966701	151	151.0	151
P12002_101_S13_L002_R2_001.fastq.gz	FASTQ	DNA	14609051	2205966701	151	151.0	151
P12002_101_S13_L005_R1_001.fastq.gz	FASTQ	DNA	14807714	2235964814	151	151.0	151
P12002_101_S13_L005_R2_001.fastq.gz	FASTQ	DNA	14807714	2235964814	151	151.0	151
P12002_101_S13_L008_R1_001.fastq.gz	FASTQ	DNA	14651181	2212328331	151	151.0	151
P12002_101_S13_L008_R2_001.fastq.gz	FASTQ	DNA	14651181	2212328331	151	151.0	151
